id,smiles,notes,params_json
5487490,CN1CCN(CC1)C2=NC3=C(C=C2)NC(=N3)C4=NC5=C(C=C4)NC(=N5)C6=CC=C(C=C6)OC,,
6337877,CN1C=CC=C2C1=C3N=C4C5=C(C(=N4)N=C6C7=C(C(=NC8=NC(=NC2=N3)C9=C8C=CC=[N+]9C)N6)[N+](=CC=C7)C)[N+](=CC=C5)C,,
6337878,CN1C=CC=C2C1=C3N=C2N=C4C5=C(C(=N4)N=C6C7=C(C=CC=[N+]7C)C(=NC8=NC(=N3)C9=C8C=CC=[N+]9C)N6)[N+](=CC=C5)C,,
6339256,C1=CC=NC(=C1)C(=[NH2+])N,,
6339848,CC1=CC(=C(C=C1)[NH+]=C(C2=NC3=CC=CC=C3C=C2)NN)C,,
6346328,C1=CSC(=C1)CNC(=[NH+]CC2=CC=CS2)C3=C(C=C(C=N3)C(F)(F)F)Cl,,
6347124,C1=CC=C2C(=C1)C=CN=C2C(=[NH2+])N,,
6347125,C1=CC=C2C=NC(=CC2=C1)C(=[NH2+])N,,
6347183,C1=CC=C2C(=C1)C=CC(=N2)C(=[NH2+])N,,
6458866,CC1=CC=CC=C1NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
6458923,C1=CC=C(C=C1)CSC2=NNC(=N2)C3=CC=CC=N3,,
6461388,C1=CC=NC(=C1)C2=NC(=NN2)SCC(=O)NC3=CC(=CC=C3)Cl,,
6461823,C1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
6471201,C1=CC=NC(=C1)C2=NC(=NN2)SCC(=O)NC3=C(C(=CC=C3)Cl)Cl,,
6472823,C1=CC=C(C(=C1)CSC2=NNC(=N2)C3=CC=CC=N3)Cl,,
6481874,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4.[Cl-].[Cl-].[Cl-].[Ru+3],,
6481875,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.[Cl-].[Ru+3],,
6481876,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.F[P-](F)(F)(F)(F)F.[Cl-].[Ru+3],,
6481877,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[N+](=O)([O-])[O-].F[P-](F)(F)(F)(F)F.[Ru+3],,
6481878,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+3],,
6481879,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+3],,
6481880,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.[Cl-].[Ru+2],,
6481881,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5[N-]4.[Ru+2],,
6491431,COC(=O)CSC1=NNC(=N1)C2=CC=CC=N2,,
6491432,CCOC(=O)C1=C(C(=C(S1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3)C#N)C,,
6491433,CCOC(=O)C1=C(SC(=C1C)C(=O)C)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
6491434,CC1=CC(=C(C=C1)C)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
6612277,C1=CC=NC(=C1)C2=NC3=C(N2)C=CC=N3,,
6914575,C1CCC(CC1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O,,
6926075,CCOC1=C(N=CC(=C1)C(F)(F)F)C(=[NH2+])N,,
6927303,C1=CC(=NC=C1C(F)(F)F)C(=[NH2+])N,,
6927483,C1=CC=C(C=C1)C(=O)[NH+]=C(C2=NC=C(C=C2)C(F)(F)F)N,,
6927484,C1=CC(=CC=C1C(=O)[NH+]=C(C2=NC=C(C=C2)C(F)(F)F)N)Cl,,
7036782,C1=CC(=CC(=C1)C(F)(F)F)C(=O)[NH+]=C(C2=NC=C(C=C2)C(F)(F)F)N,,
7036783,C1=CC(=CC=C1C(=O)[NH+]=C(C2=NC=C(C=C2)C(F)(F)F)N)OC(F)(F)F,,
7044978,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)C(=O)[O-],,
7248229,C1C[C@H]2C[C@H]1C[C@H]2NC(=O)CSC3=NNC(=N3)C4=CC=CC=N4,,
7248230,C1C[C@H]2C[C@H]1C[C@@H]2NC(=O)CSC3=NNC(=N3)C4=CC=CC=N4,,
9801005,CC1=CC=C(C=C1)CCNC(=O)C2=C(N=CC=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N,,
9809250,CC1=CC(=O)NS(=O)(=O)O1.C1CCC(CC1)CC(C(=O)N2CCCC2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O,,
9809251,C1CCC(CC1)CC(C(=O)N2CCCC2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O,,
9815030,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CN=C(C=C3)C(=N)N)O,,
9823077,COC1=CC=C(C=C1)CCNC(=O)C2=C(N=CC=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N,,
9826636,COC(=O)CNC(CC1CCCCC1)C(=O)N2CC=CCC2C(=O)NCC3=CN=C(C=C3)C(=N)N,,
9829296,C1CN(C2=CC=CC=C2C3=C1NC(=N3)C4=CC=CC=N4)C(=O)C5=CC=C(C=C5)NC(=O)C6=CC=CC=C6C7=CC=CC=C7,,
9846713,C1=CC(=C(N=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N)C(=O)NCCC4=CC(=C(C=C4)Cl)Cl,,
9859587,C1=CC=C(C=C1)C(CC2=NC(=CC=C2)C(=N)N)N,,
9864252,CC1=C(N=C(N1)C2=CC=CC=N2)[C@@H]3[C@H](C3(C)C)C4=CC(=CC(=C4)Cl)Cl,,
9870066,C1=CC=C2C(=C1)C=CC(=N2)C3=NC(=C(N3)C4=CC=C(C=C4)/C=C/C(=O)O)C5=CC=C(C=C5)/C=C/C(=O)O,,
9872410,CC(C)CNC(=O)C1=CC(=C(C=C1)C2=CC=CC=C2C(=O)NC3=CN=C(C=C3)C(=N)N)C(=O)O.CS(=O)(=O)O,,
9872411,CC(C)CNC(=O)C1=CC(=C(C=C1)C2=CC=CC=C2C(=O)NC3=CN=C(C=C3)C(=N)N)C(=O)O,,
9878153,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=CC(=C3)C#N,,
9881560,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC=C3)Cl,,
9884673,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC=C3)I,,
9885750,CCN1C(=O)C2=C(N=C(N2)C3=CC=CC=N3)N4C1=NC(=N4)CC5=CC=CC=C5,,
9892116,CCOC(=O)CNC(CC1CCCCC1)C(=O)N2CC=CCC2C(=O)NCC3=CN=C(C=C3)C(=N)N,,
9893176,C1CCC(CC1)C[C@H](C(=O)N2CC=C[C@H]2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O.Cl.Cl,,
9893177,C1CCC(CC1)C[C@H](C(=O)N2CC=C[C@H]2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O,,
9895649,C1CCC(CC1)C[C@H](C(=O)N2CC=C[C@H]2C(=O)NCC3=CN=C(C=C3)C(=N)N)NCC(=O)O.C1=CC=C2C(=C1)C(=O)NS2(=O)=O,,
9904174,CCCCC1=CN=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N,,
9913607,COC1=C(C=C(C=C1)CCNC(=O)C2=C(N=CC=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N)Br,,
9914376,CC(C)OC(=O)CNC(CC1CCCCC1)C(=O)N2CC=CCC2C(=O)NCC3=CN=C(C=C3)C(=N)N,,
9914840,CC(C)(C)OC(=O)CNC(CC1CCCCC1)C(=O)N2CC=CCC2C(=O)NCC3=CN=C(C=C3)C(=N)N,,
9927548,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)C4=NC5=CC=CC=C5N4,,
9936702,CC(C)COC(=O)CNC(CC1CCCCC1)C(=O)N2CC=CCC2C(=O)NCC3=CN=C(C=C3)C(=N)N,,
9951343,CC1=C(N=C(N1)C2=CC=CC=N2)[C@@H]3C(C3(C)C)C4=CC(=CC(=C4)Cl)Cl,,
